Image_Name,ID,Count
314138_314138_20-27426_20-27426_MGG,314138,1872
324995_324995_20-31851_20-31851_MGG,324995,2723
32718_32718_20-23318_20-23318_MGG,32718,5619
346788_YY-ART_5051241_18-19829_18-19829_MGG-011,346788,35521
357977_357977_t0_nan_MGG,357977,4021
35953_YY-ART_1494142_20-3718_20-3718_MGG,35953,3710
362426_YY-ART_5091214_19-30966_19-30966_MGG,362426,7166
36764_36764_19-50474_19-50474_MGG,36764,7569
368178_368178_17-20520_17-20520_MGG,368178,2975
371217_371217_15-23115_15-23115_MGG,371217,1174
374220_374220_ 17-10695_ 17-10695_MGG,374220,2358
410265_YY-ART_5056310_t1_nan_MGG,410265,4125
456596_YY-ART_5240627_t0_nan_MGG,456596,5512
480522_480522_19-29966_19-29966_MGG,480522,2348
49084_YY-ART_75248_15-18826_15-18826_MGG,49084,870
5007674_5007674_t0_nan_MGG,5007674,431
491032_491032_17-38211_17-38211_MGG,491032,3415
49897_49897_19-41518_19-41518_MGG,49897,7036
5005084_5005084_17-28851_17-28851_MGG,5005084,3087
5006969_YY-ART_166862_t0_nan_MGG,5006969,6040
5007876_5007876_t0_nan_MGG,5007876,8031
5012795_5012795_17-15905_17-15905_MGG,5012795,2675
5016288_5016288_18-4837_18-4837_MGG,5016288,2964
5021375_5021375_19-38544_19-38544_MGG,5021375,6872
5027100_5027100_17-26043_17-26043_MGG,5027100,3796
5030076_5030076_20-9906_20-9906_MGG,5030076,3702
5031485_5031485_17-30284_17-30284_MGG,5031485,1807
5032640_YY-ART_1890971_17-17675_17-17675_MGG,5032640,2572
5034688_5034688_19-19232_19-19232_MGG,5034688,2813
5035644_5035644_17-32175_17-32175_MGG,5035644,5999
5036969_5036969_t0_nan_MGG,5036969,3957
5040218_5040218_17-41035_17-41035_MGG,5040218,4655
5042396_5042396_17-35246_17-35246_MGG,5042396,3398
504856_504856_18-31829_18-31829_MGG,504856,3252
5056093_YY-ART_1664407_t0_nan_MGG,5056093,2559
5057107_5057107_18-14973_18-14973_MGG,5057107,3838
5060832_5060832_18-27883_18-27883_MGG,5060832,3591
5061622_5061622_18-20909_18-20909_MGG,5061622,9589
5070869_5070869_18-27085_18-27085_MGG,5070869,11432
5070869_YY-ART_38711_t0_nan_MGG,5070869,4379
5074703_5074703_18-22123_18-22123_MGG,5074703,14156
5074992_5074992_t0_nan_MGG,5074992,10610
5078288_5078288_18-13970_18-13970_MGG,5078288,4363
5080201_5080201_18-26854_18-26854_MGG,5080201,6892
5083069_5083069_18-19830_18-19830_MGG,5083069,214
5086322_5086322_18-34316_18-34316_MGG,5086322,1870
5087156_YY-ART_335357_16-28574_16-28574_MGG,5087156,8123
5095313_5095313_18-33428_18-33428_MGG,5095313,4956
5097996_5097996_t0_nan_MGG,5097996,685
5101237_5101237_18-29788_18-29788_MGG,5101237,1105
5101382_5101382_18-33690_18-33690_MGG,5101382,978
5102129_5102129_19-47335_19-47335_MGG,5102129,5057
5102553_YY-ART_82950_t0_nan_MGG,5102553,470
5103328_5103328_19-25355_19-25355_MGG,5103328,646
5103839_5103839_18-32314_18-32314_MGG,5103839,723
5104608_5104608_18-32700_18-32700_MGG,5104608,1003
5106468_5106468_19-34321_19-34321_MGG,5106468,3310
5107773_5107773_18-39687_18-39687_MGG,5107773,3139
5110153_5110153_20-15745_20-15745_MGG,5110153,417
5110616_5110616_19-23533_19-23533_MGG,5110616,531
5111605_5111605_19-28870_19-28870_MGG,5111605,4634
5113213_YY-ART_1487025_t0_nan_MGG,5113213,1721
5113_5113_t0_nan_MGG,5113,3301
5116490_5116490_19-618_19-618_MGG,5116490,1099
51207_51207_20-17444_20-17444_MGG,51207,2209
51290_51290_20-10048_20-10048_MGG,51290,1797
5129340_5129340_19-9482_19-9482_MGG,5129340,741
5142990_5142990_19-13299_19-13299_MGG,5142990,2172
5145028_5145028_19-9384_19-9384_MGG,5145028,3493
5145460_5145460_19-47030_19-47030_MGG,5145460,7994
5147289_5147289_19-14433_19-14433_MGG,5147289,3807
5149652_5149652_t5_nan_MGG,5149652,4991
5156202_5156202_19-30653_19-30653_MGG,5156202,7567
5158125_5158125_19-18249_19-18249_MGG,5158125,990
5160059_5160059_19-21451_19-21451_MGG,5160059,1755
5168888_5168888_t1_nan_MGG,5168888,11020
5172706_5172706_19-29967_19-29967_MGG,5172706,3197
5178097_5178097_19-49680_19-49680_MGG,5178097,8644
5179216_5179216_t0_nan_MGG,5179216,6815
5180747_5180747_t0_nan_MGG,5180747,3728
5181741_5181741_20-14623_20-14623_MGG,5181741,3537
5182230_5182230_20-4857_20-4857_MGG,5182230,6164
5184332_5184332_19-31915_19-31915_MGG,5184332,6611
5184665_5184665_20-5223_20-5223_MGG,5184665,5336
5185975_5185975_19-31840_19-31840_MGG,5185975,3488
5186049_5186049_19-32281_19-32281_MGG,5186049,6462
5189003_5189003_t1_nan_MGG,5189003,5391
5193243_5193243_19-45479_19-45479_MGG,5193243,4512
5193573_5193573_19-37477_19-37477_MGG,5193573,7468
5196481_5196481_t0_nan_MGG,5196481,9250
5199408_5199408_19-45056_19-45056_MGG,5199408,4621
5202015_5202015_19-50663_19-50663_MGG,5202015,8418
5202968_5202968_19-42363_19-42363_MGG,5202968,5780
5205767_5205767_t0_nan_MGG,5205767,2647
5203017_YY-ART_5214913_20-5113_20-5113_MGG,5203017,5991
5205674_5205674_20-10953_20-10953_MGG,5205674,1504
5208757_5208757_20-15475_20-15475_MGG,5208757,2717
5210365_5210365_20-2341_20-2341_MGG,5210365,5666
5213037_5213037_t0_nan_MGG,5213037,6580
5213796_YY-ART_5253334_20-22096_20-22096_MGG,5213796,1583
5217078_5217078_19-49684_19-49684_MGG,5217078,8714
5219904_5219904_20-42_20-42_MGG,5219904,4828
5221626_5221626_20-1543_20-1543_MGG,5221626,1263
5222372_5222372_20-2519_20-2519_MGG,5222372,3540
5223623_5223623_20-6992_20-6992_MGG,5223623,1315
5224722_5224722_20-5743_20-5743_MGG,5224722,8774
5225728_5225728_20-4264_20-4264_MGG,5225728,7856
5227773_5227773_20-4492_20-4492_MGG,5227773,1231
5238109_5238109_t0_nan_MGG,5238109,2547
524219_YY-ART_97474_18-755_18-755_MGG,524219,7267
5244541_5244541_20-14497_20-14497_MGG,5244541,4620
5245421_YY-ART_5011487_17-31366_17-31366_MGG,5245421,2230
5246178_5246178_t0_nan_MGG,5246178,2101
5249238_5249238_20-19117_20-19117_MGG,5249238,491
5252082_5252082_20-16670_20-16670_MGG,5252082,450
5256830_5256830_20-20428_20-20428_MGG,5256830,2210
5283465_5283465_20-29005_20-29005_MGG,5283465,1586
529164_529164_t1_nan_MGG,529164,868
5299703_5299703_20-35494_20-35494_MGG,5299703,9929
5304244_5304244_20-37201_20-37201_MGG,5304244,11240
5307886_5307886_20-37380_20-37380_MGG,5307886,14714
5310813_YY-ART_5034245_17-33134_17-33134_MGG,5310813,6798
5318469_YY-ART_5129321_19-3879_19-3879_MGG,5318469,195
5341246_YY-ART_141840_15-9513_15-9513_MGG,5341246,1610
5352392_YY-ART_1825903_20-14533_20-14533_MGG,5352392,363
5359594_YY-ART_1800528_16-7614_16-7614_MGG,5359594,2744
5359595_YY-ART_5037997_t0_nan_MGG,5359595,6510
5371877_YY-ART_5209017_19-49645_19-49645_MGG,5371877,2928
5373126_YY-ART_5205167_19-47207_19-47207_MGG,5373126,7924
5375576_YY-ART_1363731_t0_nan_MGG,5375576,1408
